,Timestamp,Machine Mode,System,exactTripTime
0,2020-06-08 13:03:00,User Time,Unknown,2020-06-08T10:03:00.000000000
1,2020-06-09 19:04:00,User Time,Cooling,2020-06-09T16:03:34.000000000
2,2020-06-10 16:57:00,User Time,Cooling,2020-06-10T13:57:32.000000000
3,2020-06-10 17:57:00,User Time,Cooling,2020-06-10T14:56:45.000000000
4,2020-06-14 09:30:00,User Time,Cooling,2020-06-14T06:29:48.000000000
5,2020-06-14 10:50:00,User Time,PS,2020-06-14T07:49:32.000000000
6,2020-06-14 13:10:00,User Time,Cooling,2020-06-14T10:10:05.000000000
7,2020-06-14 14:17:00,User Time,Cooling,2020-06-14T11:17:03.000000000
8,2020-06-14 16:01:00,User Time,Cooling,2020-06-14T13:00:35.000000000
9,2020-06-16 10:24:00,User Time,Human Error,2020-06-16T07:24:03.000000000
10,2020-06-18 10:44:00,User Time,Cooling,2020-06-18T07:43:52.000000000
11,2020-06-23 10:55:00,User Time,PS,2020-06-23T07:55:31.000000000
12,2020-07-02 13:46:00,User Time,Cooling,2020-07-02T10:45:26.000000000
13,2020-07-06 12:35:00,User Time,RF,2020-07-06T09:34:04.000000000
14,2020-07-07 08:46:00,User Time,Unknown,2020-07-07T05:45:24.000000000
15,2020-07-23 09:56:00,Injection,Cooling,2020-07-23T06:55:10.000000000
16,2020-07-27 13:33:00,User Time,Vacuum,2020-07-27T10:33:33.000000000
17,2020-07-27 22:11:00,User Time,Cooling,2020-07-27T19:11:13.000000000
18,2020-08-25 09:29:00,Injection,RF,2020-08-25T06:28:38.000000000
19,2020-08-25 10:56:00,User Time,Human Error,2020-08-25T07:56:08.000000000
20,2020-08-26 23:12:00,User Time,RF,2020-08-26T20:11:51.000000000
21,2020-08-27 13:04:00,User Time,Cooling,2020-08-27T10:03:31.000000000
22,2020-09-09 23:16:00,User Time,Diagnostic,2020-09-09T20:16:59.000000000
23,2020-09-17 02:09:00,User Time,RF,2020-09-16T23:09:11.000000000
24,2020-09-17 08:35:00,User Time,Cooling,2020-09-17T05:35:08.000000000
25,2020-09-22 08:22:00,User Time,Unknown,2020-09-22T05:22:05.000000000
26,2020-10-07 05:59:00,User Time,RF,2020-10-07T02:59:07.000000000
27,2020-10-08 03:55:00,User Time,RF,2020-10-08T00:54:45.000000000
28,2020-10-12 11:48:00,User Time,RF,2020-10-12T08:47:45.000000000
29,2020-10-20 09:23:00,Injection,PS,2020-10-20T06:22:09.000000000
